Title,kinopoiskId,Year,Rating Kinopoisk
1+1,535341,2011,8.861
Джентльмены,1143242,2019,8.679
Гнев человеческий,1318972,2021,7.72
Брат,41519,1997,8.373
Волк с Уолл-стрит,462682,2013,8.103
Достать ножи,1188529,2019,8.191
Зеленая книга,1108577,2018,8.547
Холоп 2,5047468,2023,7.168
Остров проклятых,397667,2009,8.562
Брат 2,41520,2000,8.299
По щучьему велению,4959134,2023,7.76
Батя,1326397,2020,7.89
Один дома,8124,1990,8.282
Иван Васильевич меняет профессию,42664,1973,8.793
Операция «Ы» и другие приключения Шурика,42782,1965,8.75
Бойцовский клуб,361,1999,8.68
Переводчик,927898,2022,7.906
Анора,5405057,2024,6.427
Легенда,839954,2015,7.267
Любовь и голуби,45146,1984,8.293
Аватар,251733,2009,8.0
Кракен,4476147,2025,7.693
Холоп,1183582,2019,7.189
Интерстеллар,258687,2014,8.677
Пчеловод,4626783,2024,7.251
Побег из Шоушенка,326,1994,9.111
Гарри Поттер и философский камень,689,2001,8.3
Начало,447301,2010,8.671
Зеленая миля,435,1999,9.078
Субстанция,4860213,2024,6.281
Области тьмы,462606,2011,8.031
Пираты Карибского моря: Проклятие Черной жемчужины,4374,2003,8.386
Вышка,4542208,2022,6.763
Операция «Фортуна»: Искусство побеждать,1405508,2022,7.16
Джентльмены удачи,44386,1971,8.557
Форрест Гамп,448,1994,8.921
Законопослушный гражданин,406408,2009,8.063
Веном,463634,2018,6.942
Иллюзия обмана,522892,2013,7.793
Бриллиантовая рука,46225,1968,8.57
"Кавказская пленница, или Новые приключения Шурика",44745,1966,8.521
Титаник,2213,1997,8.389
Леон,389,1994,8.671
Мажор в Сочи,5078983,2022,7.224
Паразиты,1043758,2019,8.052
Москва слезам не верит,46708,1979,8.442
Мстители: Война бесконечности,843649,2018,8.115
Август,1234808,2025,7.812
Девчата,44168,1961,8.56
Граф Монте-Кристо,5452393,2024,8.122
Достучаться до небес,32898,1997,8.646
Криминальное чтиво,342,1994,8.657
Поезд в Пусан,977288,2016,7.235
Кентавр,5235968,2023,7.777
Пятый элемент,2656,1997,8.184
Мстители: Финал,843650,2019,7.934
"Поймай меня, если сможешь",324,2002,8.529
Дюна,409424,2021,7.678
Служебный роман,43869,1977,8.332
Последний богатырь,976642,2017,7.237
Горничная,6750360,2025,7.652
Министерство неджентльменских дел,4414587,2024,7.327
Джанго освобожденный,586397,2012,8.256
Драйв,276598,2011,7.244
Чебурашка,4370148,2022,7.516
Матрица,301,1999,8.499
Т-34,930878,2018,6.97
Темный рыцарь,111543,2008,8.537
Беспринципные в деревне,5129252,2023,6.671
Стражи Галактики,689066,2014,7.86
Майор Гром: Чумной Доктор,1109271,2021,7.292
Легенда №17,601564,2012,8.055
Гладиатор,474,2000,8.592
Батя 2. Дед,5427621,2025,7.634
Джон Уик 4,1267348,2023,7.625
Исчезнувшая,692861,2014,7.967
Мастер,5450038,2025,7.021
Терминатор 2: Судный день,444,1991,8.424
Хатико: Самый верный друг,387556,2008,8.383
Доктор Стрэндж,409600,2016,7.537
Гарри Поттер и узник Азкабана,322,2004,8.254
Лучшее предложение,681849,2012,8.061
Мстители,263531,2012,7.895
Властелин колец: Братство кольца,328,2001,8.631
Дэдпул,462360,2016,7.585
Беляковы в отпуске,5582621,2024,7.346
Бесславные ублюдки,9691,2009,8.035
Железный человек,61237,2008,7.984
Ford против Ferrari,835086,2019,8.233
Пираты Карибского моря: Сундук мертвеца,63991,2006,8.151
Гарри Поттер и Тайная комната,688,2002,8.152
Назад в будущее,476,1985,8.648
Счастливое число Слевина,86326,2005,8.156
Конёк-Горбунок,1045583,2021,7.34
Шерлок Холмс,420923,2009,8.061
Дьявол носит Prada,104992,2006,7.725
Триггер. Фильм,4958668,2023,6.36
Марсианин,841700,2015,7.772
Однажды в… Голливуде,1047883,2019,7.696
Джокер,1048334,2019,7.996
Баба Яга спасает мир,4536580,2023,7.3
Престиж,195334,2006,8.515
Один дома 2: Затерянный в Нью-Йорке,5928,1992,8.037
Сто лет тому вперёд,1334852,2024,7.634
Такси,14349,1998,8.032
Домовенок Кузя,5304528,2024,7.717
Круэлла,804662,2021,7.591
Большой куш,526,2000,8.556
Гарри Поттер и Дары Смерти: Часть II,407636,2011,8.173
Во всё тяжкое,1047881,2018,7.325
Властелин колец: Возвращение короля,3498,2003,8.686
Иван Васильевич меняет всё,5394690,2023,6.574
Шоу Трумана,4541,1998,8.283
Пираты Карибского моря: На краю света,102124,2007,8.072
Главный герой,1199100,2021,7.365
Догмен,4922959,2023,7.755
Первому игроку приготовиться,538225,2018,7.442
Властелин колец: Две крепости,312,2002,8.626
Всё везде и сразу,1322324,2021,7.191
Валериан и город тысячи планет,689960,2017,7.013
Хоббит: Нежданное путешествие,278522,2012,8.118
Бременские музыканты,5047464,2023,7.327
"Ирония судьбы, или С легким паром!",77331,1975,8.204
Алита: Боевой ангел,88173,2019,7.231
Время,517988,2011,7.292
Движение вверх,840817,2017,7.601
Укрощение строптивого,63912,1980,8.419
Люди в чёрном,1091,1997,8.045
Гарри Поттер и Кубок огня,8408,2005,7.983
Огниво,5230101,2024,7.651
Далласский клуб покупателей,260162,2013,7.95
Вторая жизнь Уве,848894,2015,8.28
Иллюзия обмана 2,786958,2016,6.89
Лулу и Бриггс,1355139,2021,7.443
Дурак,808639,2014,8.111
Славные парни,841152,2016,7.3
Игра в имитацию,635772,2014,7.808
Семь,377,1995,8.303
Константин: Повелитель тьмы,3793,2005,7.879
Лига справедливости Зака Снайдера,1387021,2021,7.806
Человек-паук,838,2002,7.776
Омерзительная восьмерка,819101,2015,8.012
Чарли и шоколадная фабрика,38905,2005,7.651
Жмурки,84830,2005,7.305
Живая сталь,88198,2011,7.675
В бой идут одни «старики»,25108,1973,8.736
Дивергент,582101,2014,6.788
Мажор. Фильм,1445143,2021,7.069
Вызов,4448519,2023,7.887
Молчание ягнят,345,1990,8.332
Маска,6039,1994,7.989
Грань будущего,505851,2014,7.944
Огонь,1183599,2020,8.145
Одержимость,725190,2013,8.365
Довод,1236063,2020,7.525
Век Адалин,522876,2015,7.915
Брюс Всемогущий,39577,2003,7.746
Исходный код,409295,2011,7.78
"Карты, деньги, два ствола",522,1998,8.56
Еретик,5942378,2024,6.657
Человек-паук: Вдали от дома,1008445,2019,7.412
Джон Уик,762738,2014,7.036
Линкольн для адвоката,461939,2011,7.99
12 лет рабства,606646,2013,7.955
Я – легенда,195524,2007,7.874
Отель «Гранд Будапешт»,683999,2014,7.957
Гарри Поттер и Принц-полукровка,89515,2009,7.856
Гарри Поттер и Орден Феникса,48356,2007,7.853
Тор: Рагнарёк,822709,2017,7.716
Выстрел в пустоту,910353,2015,7.791
Трасса 60,3563,2001,8.139
Постучись в мою Тверь,5428537,2024,7.087
Загадочная история Бенджамина Баттона,81555,2008,8.076
Список Шиндлера,329,1993,8.851
Груз 200,259251,2007,6.804
Гордость и предубеждение,81733,2005,8.151
Аквамен,470178,2018,6.832
Стражи Галактики. Часть 2,841263,2017,7.784
Отряд самоубийц,468522,2016,6.104
Оно,453397,2017,7.301
День сурка,527,1993,8.14
Эффект бабочки,5167,2003,8.168
Три тысячи лет желаний,1209527,2022,7.263
Kingsman: Секретная служба,749540,2015,7.684
Игры разума,530,2001,8.537
Темный рыцарь: Возрождение легенды,437410,2012,8.172
Черный ящик,1368311,2020,7.599
Отпуск по обмену,104927,2006,7.859
Гарри Поттер и Дары Смерти: Часть I,276762,2010,7.915
Лёд 3,5275429,2024,8.206
По соображениям совести,649917,2016,8.247
Папины дочки. Новогодние,5417822,2023,7.817
Добро пожаловать в семью,4317395,2021,7.491
Дэдпул 2,961715,2018,7.422
День курка,1101569,2019,7.186
Предложение,321842,2009,7.67
Мастер и Маргарита,1115471,2023,7.614
Балканский рубеж,1000443,2019,8.183
Ворошиловский стрелок,41442,1999,8.015
Отступники,81314,2006,8.458
Адвокат дьявола,3797,1997,8.177
Алиса в Стране чудес,6218104,2025,6.335
Фантастические твари и где они обитают,797840,2016,7.607
Последний богатырь: Корень зла,1249172,2020,7.457
Король говорит!,485311,2010,8.064
Послезавтра,2053,2004,7.673
Голодные игры,468581,2012,7.269
Богемская рапсодия,568289,2018,8.023
Царевна-лягушка,5518231,2025,7.361
Оружейный барон,77439,2005,7.744
Выживший,522941,2015,7.875
Чего хотят женщины,880,2000,7.827
Вечное сияние чистого разума,5492,2004,8.048
Пеле: Рождение легенды,803422,2015,8.47
Джон Уик 2,885658,2017,7.209
Бегущий по лезвию 2049,589290,2017,7.824
Основатель,893245,2016,7.619
Дело храбрых,965754,2017,8.309
Еще по одной,1263705,2020,7.565
Красотка,8125,1990,8.03
Голосовой помощник,7029912,2025,7.265
Терминал,6877,2004,8.123
Железный человек 2,411924,2010,7.455
Телохранитель киллера,835877,2017,7.117
Человек-паук: Нет пути домой,1309570,2021,7.928
Лекарь: Ученик Авиценны,645276,2013,8.108
Веном 2,1227967,2021,6.214
Собачье сердце,77335,1988,8.446
Великий Гэтсби,463724,2013,7.947
Игра,12198,1997,8.254
Бумер,57166,2003,7.104
9 рота,84674,2005,6.851
Шан-Чи и легенда десяти колец,1219149,2021,7.3
Железный человек 3,462762,2013,7.447
Риддик,455767,2013,6.796
Хоббит: Пустошь Смауга,408876,2013,8.035
